A!NET_NAME_SORT!NET_NAME!NODE_SORT!NODE_1_NUMBER!NODE_2_NUMBER!NODE_CONNECTS!RAT_CONNECTED!REFDES!PIN_NUMBER!PIN_TYPE!PIN_X!PIN_Y!VIA_X!VIA_Y!VIA_MIRROR!PAD_STACK_NAME!START_LAYER_NAME!END_LAYER_NAME!
J!//ppfs6.physics.ox.ac.uk/CEG/Central Electronics/Projects/Hastingsp/DUNE/uob-hep-pc065/design_files/worklib/pc065b_fibv2_toplevel/physical/pc065c_fibv2_toplevel_19.brd!Thu Apr  4 13:42:01 2024!-147.000!-139.100!253.000!260.900!0.001!millimeters!PC065B_FIBV2_TOPLEVEL!69.133858 mil!8!UP TO DATE!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!2!    1!    1!1!!R65!2!BI!118.250!7.300!!!!SQM_06!BOTTOM!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!!!!!!R65!2!BI!118.250!7.300!!!!SQM_06!BOTTOM!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!2!    2!    2!2!!!!!!!118.391!6.429!NO!VIA22RD0-3D!TOP!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!2!    3!    3!1!!J2!D31!BI!117.825!6.995!!!!C64P89!TOP!TOP!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!!!!!!J2!D31!BI!117.825!6.995!!!!C64P89!TOP!TOP!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDO!UNNAMED_4_FMCHPCGENERIC_I62_TDO!5!    1!    3!!YES!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!2!    1!    1!1!!R65!1!BI!117.350!7.300!!!!SQM_06!BOTTOM!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!!!!!!R65!1!BI!117.350!7.300!!!!SQM_06!BOTTOM!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!2!    2!    2!2!!!!!!!117.121!6.429!NO!VIA22RD0-3D!TOP!BOTTOM!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!2!    3!    3!1!!J2!D30!BI!116.555!6.995!!!!C64P89!TOP!TOP!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!!!!!!J2!D30!BI!116.555!6.995!!!!C64P89!TOP!TOP!
S!UNNAMED_4_FMCHPCGENERIC_I62_TDI!UNNAMED_4_FMCHPCGENERIC_I62_TDI!5!    1!    3!!YES!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!!!7!!!!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!2!    1!    1!1!!C16!1!BI!19.450!12.200!!!!SQM_06!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!!!!!!C16!1!BI!19.450!12.200!!!!SQM_06!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    1!    2!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!7!    2!    3!2!!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!2!    2!    2!2!!R2!1!BI!20.600!12.150!!!!SQM_06!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!!!!!!R2!1!BI!20.600!12.150!!!!SQM_06!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!2!    3!    3!1!!U1!3!IN!23.900!12.100!!!!RT_75X15!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!!!!!!U1!3!IN!23.900!12.100!!!!RT_75X15!TOP!TOP!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!5!    2!    3!!YES!!!!!!!!!!!!
S!UNNAMED_8_CAPCERSMDCL2_I167_A!UNNAMED_8_CAPCERSMDCL2_I167_A!5!    1!    2!!YES!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000007!I2C_LED_7!2!    1!    1!2!!!!!!!69.800!69.200!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!2!    2!    2!1!!DS8!2!UNSPEC!120.150!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!!!!!!DS8!2!UNSPEC!120.150!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!2!    3!    3!2!!!!!!!43.800!9.500!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!2!    4!    4!1!!IC23!8!BI!44.050!7.600!!!!R80_30!BOTTOM!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!!!!!!IC23!8!BI!44.050!7.600!!!!R80_30!BOTTOM!BOTTOM!
S!I2C_LED_ 00000007!I2C_LED_7!5!    2!    4!!YES!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000006!I2C_LED_6!2!    1!    1!2!!!!!!!38.750!7.550!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!2!    2!    2!1!!IC23!7!BI!43.550!7.600!!!!R80_30!BOTTOM!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!!!!!!IC23!7!BI!43.550!7.600!!!!R80_30!BOTTOM!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!2!    3!    3!2!!!!!!!69.800!70.000!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!2!    4!    4!1!!DS7!2!UNSPEC!105.900!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!!!!!!DS7!2!UNSPEC!105.900!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000006!I2C_LED_6!5!    2!    4!!YES!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    3!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    1!    2!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!2!    1!    1!2!!!!!!!69.800!70.800!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000005!I2C_LED_5!2!    2!    2!1!!DS6!2!UNSPEC!91.650!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000005!I2C_LED_5!!!!!!DS6!2!UNSPEC!91.650!75.600!!!!SQUARE_0_6MM!BOTTOM!BOTTOM!
S!I2C_LED_ 00000005!I2C_LED_5!2!    3!    3!2!!!!!!!38.000!7.100!NO!VIA22RD0-3D!TOP!BOTTOM!
S!I2C_LED_ 00000005!I2C_LED_5!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!7!    3!    4!2!!!!!!!!!!!!!
S!I2C_LED_ 00000005!I2C_LED_5!2!    4!    4!1!!IC23!6!BI!42.800!6.850!!!!R80_30!BOTTOM!BOTTOM!
S!I2C_LED_ 00000005!I2C_LED_5!!!!!!IC23!6!BI!42.800!6.850!!!!R80_30!BOTTOM!BOTTOM!
